Material code	Material descr
20138112	AXPK-PE 4G150  0,6/1 kV
20138113	AXPK-PE 4G240  0,6/1 kV
20138109	AXPK-PE 4G70  0,6/1 kV
20138111	AXPK-PE 4G120  0,6/1 kV
20141393	EX 4x35, 1kV
20153359	ACK-240 AN /Germany
20157030	NO-N1XZ1-AR 5G95 PROLIGHT
20157029	NO-N1XZ1-AR 5G50 PROLIGHT
20157028	NO-N1XZ1-AR 5G25 PROLIGHT
20155360	XPJ 500V 5G1,5 R100
20155363	XPJ 500V 3G1,5 R100
20155361	XPJ 500V 3G2,5 R100
20155362	XPJ 500V 5G2,5 R50
20156658	ACK-400 AN /Germany
20157596	XPJ 750V 5G4
20156319	XPJ 500V 3G2,5 T1000
20156315	XPJ 500V 3x1,5 R100
20156316	XPJ 500V 4G1,5 R100
20156317	XPJ 500V 4G2,5 R100
20156318	XPJ 500V 3G1,5 T1000
20156314	XPJ 500V 2x1,5 R100
20154420	ACK-120 AN /Germany
20158714	AXPK-PLUS 1x400  1kV
20161441	XPUJ 500V 4G1,5 R100
20161442	XPUJ 500V 5G1,5 R100
20161443	XPUJ 500V 3G2,5 R100
20161444	XPUJ 500V 4G2,5 R100
20161050	XPUJ 500V 3G1,5 R100
20161016	XPJ 750V 5G6
20161017	XPJ 750V 5G10
20161018	XPJ 750V 5G16
20161445	XPUJ 500V 5G2,5 R50
20159492	CCST-99 WK 20 kV
20163181	AS 95/16
20163932	AXPK-PLUS 5G35, 1kV
20163987	AXPK-PLUS 5G25, 1kV
20163988	CCST-159 WK 20 kV
20163989	CCST-241 WK 20 kV
20163827	XPUJ 500V 5G2,5 T750
20163826	XPUJ 500V 3G2,5 T1000
20163301	XPJ 500V 5G2,5 R100
20162348	HK 95 / 19x2,50
20162347	HK 70 / 19x2,12
20162346	HK 50 / 19x1,77
20162349	HK 120 / 37x2,01
20162351	SE-N1XE-AR Light 4G25 T4500
20162352	SE-N1XE-AR Light 5G25 T3500
20162343	HK 16 / 7x1,68
20162345	HK 35 / 7x2,50
20162344	HK 25 / 7x2,12
20163991	CCST-62 WK 20 kV
20163809	XPJ 500V 4G1,5 T1000
20165427	HIK-AL-S 4x300 0,6/1kV
20165428	HIK-AL-S 4x70 0,6/1kV
20165429	HIK-AL-S 4x120 0,6/1kV
20165430	HIK-AL-S 4x185 0,6/1kV
20166211	XPK 3G4  1kV
20166212	XPK 3G6  1kV
20166213	XPK 4G1,5  1kV
20166214	XPK 4G2,5  1kV
20166215	XPK 4G4  1kV
20166216	XPK 4G6  1kV
20166217	XPK 5G4 1KV
20166218	XPK 5G6 1KV
20165575	XPJ 750V 3G4 T1000
20166012	XPK 3G1,5 1kV
